dialog,movie,character,_id
A man of Rohan? What is the house of Rohan but a thatched barn where brigands drink in the reek and their brats roll on the floor with the dogs? The victory at Helms Deep does not belong to you Theoden Horse Master. You are a lesser son of greater sires!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea4,5cd96e05de30eff6ebcce84e
Grima'. Come down! Be free of him!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe19,5cd96e05de30eff6ebcce84f
No! Come down Saruman and your life will be spared!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce850
What? Gandalf? See what?,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe2e,5cd96e05de30eff6ebcce851
Rally to me! To meeee!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe19,5cd96e05de30eff6ebcce852
Feast on his flesh.,5cd95395de30eff6ebccde5d,5cd9d576844dc4c55e47afee,5cd96e05de30eff6ebcce853
I will kill you if you touch him.,5cd95395de30eff6ebccde5d,5cdbdecb6dc0baeae48cfa59,5cd96e05de30eff6ebcce854
The City has fallen silent. There is no warmth left in the sun.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfcef,5cd96e05de30eff6ebcce855
It grows so cold.,5cd95395de30eff6ebccde5d,5cdbdecb6dc0baeae48cfa59,5cd96e05de30eff6ebcce856
It's just the damp of the first spring rain.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfcef,5cd96e05de30eff6ebcce857
No. No it isn't.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce858
" Well, , that's not so bad. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe2e,5cd96e05de30eff6ebcce859
" White shores and beyond, a far green country under a swift sunrise. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce85a
I do not believe this darkness will endure.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfcef,5cd96e05de30eff6ebcce85b
" Look! The Orcs, they're moving off! ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce85c
Get down cur!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea4,5cd96e05de30eff6ebcce85d
Ah!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe9d,5cd96e05de30eff6ebcce85e
Saruman! You were deep in the enemy's counsel. Tell us what you know!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce85f
You withdraw your guard and I will tell you where your doom will be decided. I will not be held prisoner here!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea4,5cd96e05de30eff6ebcce860
Send word to all our allies and to every corner of Middle Earth that still stands free. The enemy moves against us. We need to know where he will strike.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce861
"The filth of Saruman is washing away. Trees will come back to live here. ,Young trees. Wild trees. ",5cd95395de30eff6ebccde5d,5cd9d533844dc4c55e47afed,5cd96e05de30eff6ebcce862
